dataset_size,max_depth,min_samples_split,my_tree_accuracy,my_tree_precision,my_tree_recall,my_tree_depth,my_tree_num_nodes,my_tree_training_time,my_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_tree_depth,sklearn_num_nodes,sklearn_training_time,sklearn_memory_usage
11,4,8,0.9090909090909091,0.45454545454545453,0.5,1,3,0.0006368160247802734,1831.5,1.0,1.0,1.0,1,3,0.00018405914306640625,1831.5
22,4,8,0.9545454545454546,0.96875,0.9285714285714286,2,5,0.0013527870178222656,1831.5,1.0,1.0,1.0,1,3,0.00020313262939453125,1831.5
34,4,8,0.9705882352941176,0.9615384615384616,0.9772727272727273,3,7,0.002101898193359375,1831.5,1.0,1.0,1.0,2,5,0.00024580955505371094,1831.5
45,4,8,0.9777777777777777,0.9827586206896552,0.9705882352941176,3,7,0.0023081302642822266,1831.5,1.0,1.0,1.0,2,7,0.0002880096435546875,1831.5
57,4,8,0.9824561403508771,0.9861111111111112,0.9772727272727273,3,7,0.002493143081665039,1831.5,0.9824561403508771,0.982943469785575,0.9824561403508771,3,7,0.0003001689910888672,1831.5
68,4,8,0.9852941176470589,0.9827586206896552,0.9875,4,9,0.003259897232055664,1831.5,0.9852941176470589,0.9856527977044477,0.9852941176470589,3,7,0.0004000663757324219,1831.5
79,4,8,0.9620253164556962,0.97,0.953125,4,15,0.005495786666870117,1831.5,0.9873417721518988,0.9876054852320675,0.9873417721518988,3,7,0.0003838539123535156,1831.5
91,4,8,0.967032967032967,0.9647435897435896,0.9679741807348561,4,15,0.0057981014251708984,1831.5,0.989010989010989,0.9892144892144892,0.989010989010989,3,7,0.000408172607421875,1831.5
102,4,8,0.9705882352941176,0.9765625,0.9634146341463414,4,9,0.003770112991333008,1831.5,0.9901960784313726,0.9903542061986085,0.9901960784313726,3,9,0.0005660057067871094,1831.5
114,4,8,0.9649122807017544,0.9616954474097332,0.966973642426167,4,17,0.006955862045288086,1831.5,0.9912280701754386,0.9913570691434469,0.9912280701754386,3,9,0.0006139278411865234,1831.5
11,4,16,0.9090909090909091,0.45454545454545453,0.5,0,1,2.86102294921875e-06,1831.5,0.9090909090909091,0.8264462809917354,0.9090909090909091,0,1,0.0001678466796875,1831.5
22,4,16,0.8181818181818182,0.8181818181818181,0.8666666666666667,1,3,0.0007300376892089844,1831.5,1.0,1.0,1.0,1,3,0.00021910667419433594,1831.5
34,4,16,0.9117647058823529,0.94,0.875,2,5,0.0015168190002441406,1831.5,1.0,1.0,1.0,2,5,0.00024700164794921875,1831.5
45,4,16,0.8888888888888888,0.8863636363636364,0.9107142857142857,2,5,0.0016391277313232422,1831.5,1.0,1.0,1.0,2,7,0.0002880096435546875,1831.5
57,4,16,0.8947368421052632,0.8928571428571428,0.9142857142857144,2,5,0.001795053482055664,1831.5,0.9298245614035088,0.9406207827260459,0.9298245614035088,2,5,0.00028586387634277344,1831.5
68,4,16,0.9558823529411765,0.9651162790697674,0.9464285714285714,3,7,0.0026319026947021484,1831.5,0.9411764705882353,0.9485294117647058,0.9411764705882353,2,5,0.0003120899200439453,1831.5
79,4,16,0.9620253164556962,0.97,0.953125,3,11,0.004302978515625,1831.5,0.9746835443037974,0.9761727475800448,0.9746835443037974,2,5,0.00036406517028808594,1831.5
91,4,16,0.945054945054945,0.9568965517241379,0.9342105263157895,3,11,0.004547119140625,1831.5,0.978021978021978,0.9791208791208791,0.978021978021978,2,5,0.0003948211669921875,1831.5
102,4,16,0.9705882352941176,0.9765625,0.9634146341463414,3,7,0.0031511783599853516,1831.5,0.9901960784313726,0.9903542061986085,0.9901960784313726,3,9,0.0005550384521484375,1831.5
114,4,16,0.9385964912280702,0.9464285714285714,0.9287075261987933,3,11,0.0050809383392333984,1831.5,0.9912280701754386,0.9913570691434469,0.9912280701754386,3,9,0.0006091594696044922,1831.5
11,4,32,0.9090909090909091,0.45454545454545453,0.5,0,1,3.0994415283203125e-06,1831.5,0.9090909090909091,0.8264462809917354,0.9090909090909091,0,1,0.000164031982421875,1831.5
22,4,32,0.6818181818181818,0.3409090909090909,0.5,0,1,3.0994415283203125e-06,1831.5,0.6818181818181818,0.4648760330578512,0.6818181818181818,0,1,0.0001628398895263672,1831.5
34,4,32,0.8529411764705882,0.8529411764705883,0.8863636363636364,1,3,0.0008370876312255859,1831.5,0.9705882352941176,0.9718670076726342,0.9705882352941176,1,3,0.00021004676818847656,1831.5
45,4,32,0.8888888888888888,0.8863636363636364,0.9107142857142857,1,3,0.0009288787841796875,1831.5,0.9555555555555556,0.9555555555555556,0.9555555555555556,1,3,0.000225067138671875,1831.5
57,4,32,0.8947368421052632,0.8928571428571428,0.9142857142857144,1,3,0.0010406970977783203,1831.5,0.9298245614035088,0.9406207827260459,0.9298245614035088,1,3,0.00024700164794921875,1831.5
68,4,32,0.9117647058823529,0.9117647058823529,0.925,2,5,0.0019488334655761719,1831.5,0.9411764705882353,0.9485294117647058,0.9411764705882353,2,5,0.00030684471130371094,1831.5
79,4,32,0.8860759493670886,0.8849358974358974,0.8992686170212766,2,7,0.0029439926147460938,1831.5,0.9746835443037974,0.9761727475800448,0.9746835443037974,2,5,0.0003590583801269531,1831.5
