dataset_size,max_depth,min_samples_split,my_tree_accuracy,my_tree_precision,my_tree_recall,my_tree_depth,my_tree_num_nodes,my_tree_training_time,my_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_tree_depth,sklearn_num_nodes,sklearn_training_time,sklearn_memory_usage
3,4,8,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00016307830810546875,1831.125
6,4,8,0.5,0.16666666666666666,0.3333333333333333,0,1,1.6689300537109375e-06,1831.125,0.5,0.25,0.5,0,1,0.0001671314239501953,1831.125
9,4,8,0.6666666666666666,0.45,0.6666666666666666,1,3,0.00010800361633300781,1831.125,0.6666666666666666,0.5,0.6666666666666666,1,3,0.00016689300537109375,1831.125
12,4,8,0.5833333333333334,0.38888888888888884,0.5333333333333333,1,3,0.00011372566223144531,1831.125,1.0,1.0,1.0,2,5,0.00016880035400390625,1831.125
15,4,8,0.8,0.8000000000000002,0.875,2,5,0.00022292137145996094,1831.125,1.0,1.0,1.0,2,5,0.00016999244689941406,1831.125
18,4,8,0.7777777777777778,0.7738095238095237,0.8166666666666668,2,5,0.0002319812774658203,1831.125,1.0,1.0,1.0,2,5,0.0001709461212158203,1831.125
21,4,8,0.9047619047619048,0.9,0.9,2,7,0.0003371238708496094,1831.125,1.0,1.0,1.0,2,5,0.00016999244689941406,1831.125
24,4,8,0.8333333333333334,0.8397435897435898,0.7946969696969698,2,7,0.0003452301025390625,1831.125,1.0,1.0,1.0,2,5,0.00017881393432617188,1831.140625
27,4,8,0.8148148148148148,0.8380952380952381,0.7919191919191918,2,7,0.0003597736358642578,1831.140625,0.9629629629629629,0.9682539682539683,0.9629629629629629,2,5,0.00017309188842773438,1831.140625
30,4,8,0.8333333333333334,0.8611111111111112,0.8278943278943279,2,7,0.0003750324249267578,1831.140625,0.9666666666666667,0.9714285714285714,0.9666666666666667,2,5,0.00017404556274414062,1831.140625
3,4,16,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.0001621246337890625,1831.140625
6,4,16,0.5,0.16666666666666666,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.5,0.25,0.5,0,1,0.00016427040100097656,1831.140625
9,4,16,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00016117095947265625,1831.140625
12,4,16,0.4166666666666667,0.1388888888888889,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.4166666666666667,0.17361111111111113,0.4166666666666667,0,1,0.00016498565673828125,1831.140625
15,4,16,0.5333333333333333,0.17777777777777778,0.3333333333333333,0,1,1.9073486328125e-06,1831.140625,0.5333333333333333,0.28444444444444444,0.5333333333333333,0,1,0.00016307830810546875,1831.140625
18,4,16,0.6666666666666666,0.4329004329004329,0.6,1,3,0.0001270771026611328,1831.140625,0.7777777777777778,0.6190476190476191,0.7777777777777778,1,3,0.00016570091247558594,1831.140625
21,4,16,0.6666666666666666,0.4444444444444444,0.6,1,3,0.00013494491577148438,1831.140625,0.7619047619047619,0.6031746031746031,0.7619047619047619,1,3,0.00016999244689941406,1831.140625
24,4,16,0.7083333333333334,0.47222222222222215,0.6060606060606061,1,3,0.0001361370086669922,1831.140625,1.0,1.0,1.0,2,5,0.0001709461212158203,1831.140625
27,4,16,0.7037037037037037,0.4688644688644688,0.6060606060606061,1,3,0.00014209747314453125,1831.140625,0.9629629629629629,0.9682539682539683,0.9629629629629629,2,5,0.00017189979553222656,1831.140625
